id	summary	status	owner	type	priority	milestone	component	severity	resolution	time	changetime	reporter
17	date range of aids.Confirmation must be within that of the aids.Granting	closed		defect	default	gx-2014-12	lino	medium	fixed	2014-11-25 22:15:46	2014-12-04 13:06:44	luc
18	Apotheke aus Klientenkontakten wird ignoriert beim Erstellen einer Bestätigung AMK	closed		defect	default	gx-2014-12	lino	medium	fixed	2014-11-25 22:17:27	2014-12-04 13:06:44	luc
19	Additional page in AMK confirmation	closed	luc	defect	default	gx-2014-12	welfare	medium	fixed	2014-11-25 22:18:39	2014-12-04 13:17:19	luc
20	Cannot see UserProfiles table	closed		defect	default		lino	medium	fixed	2014-11-28 15:49:54	2014-11-28 15:58:19	luc
21	Garde d'enfant	closed		enhancement	default	mj-2014-12	welfare	medium	fixed	2014-12-02 00:22:38	2014-12-20 14:29:44	luc
22	Parcours : Formations dans une table à part	closed		defect	default	mj-2014-12	lino	medium	fixed	2014-12-03 09:31:24	2014-12-04 13:15:44	luc
23	Diverse Probleme Schuldnerberatung	closed		defect	major	gx-2014-12	welfare	medium	fixed	2014-12-04 13:10:58	2014-12-06 00:04:46	luc
24	"Wenn man auf Speichern klickt, springt Bild auf Reiter ""Allgemein"""	closed		oddness	default	gx-2014-12	lino	medium	fixed	2014-12-04 13:33:36	2014-12-06 00:04:05	luc
25	"Tabelle ""Benutzer und Klienten"" in Startseite nur für DSBE-Benutzer anzeigen"	closed		oddness	default	gx-2014-12	welfare	medium	fixed	2014-12-04 13:34:30	2014-12-11 12:42:43	luc
26	"Ungefragte Änderungen im Reiter ""Lebenslauf"""	closed		enhancement	default	gx-2014-12	welfare	medium	fixed	2014-12-04 13:38:31	2014-12-06 00:06:11	luc
27	Änderungen Ausdruck Budget	closed		enhancement	default	gx-2014-12	welfare	medium	fixed	2014-12-04 14:33:56	2014-12-12 06:22:54	luc
28	2 Probleme Ausdruck AMK	closed		defect	default	gx-2014-12	welfare	medium	fixed	2014-12-04 15:22:31	2014-12-05 22:37:30	luc
29	Deleting objects related by generic foreignkeys	closed		oddness	default	gx-2014-12	lino	medium	fixed	2014-12-04 15:25:26	2014-12-09 14:46:01	luc
30	Report to show orphaned Controllables	closed		enhancement	default	gx-2014-12	lino	medium	fixed	2014-12-04 15:30:21	2014-12-12 08:52:38	luc
31	Merge north and djangosite into Lino	closed		oddness	default	inside	lino	medium	fixed	2014-12-05 10:20:32	2014-12-13 00:06:16	luc
