id	summary	status	owner	type	priority	milestone	component	severity	resolution	time	changetime	reporter
24	"Wenn man auf Speichern klickt, springt Bild auf Reiter ""Allgemein"""	closed		oddness	default	gx-2014-12	lino	medium	fixed	2014-12-04 12:33:36	2014-12-05 23:04:05	luc
25	"Tabelle ""Benutzer und Klienten"" in Startseite nur für DSBE-Benutzer anzeigen"	closed		oddness	default	gx-2014-12	welfare	medium	fixed	2014-12-04 12:34:30	2014-12-11 11:42:43	luc
26	"Ungefragte Änderungen im Reiter ""Lebenslauf"""	closed		enhancement	default	gx-2014-12	welfare	medium	fixed	2014-12-04 12:38:31	2014-12-05 23:06:11	luc
27	Änderungen Ausdruck Budget	closed		enhancement	default	gx-2014-12	welfare	medium	fixed	2014-12-04 13:33:56	2014-12-12 05:22:54	luc
28	2 Probleme Ausdruck AMK	closed		defect	default	gx-2014-12	welfare	medium	fixed	2014-12-04 14:22:31	2014-12-05 21:37:30	luc
29	Deleting objects related by generic foreignkeys	closed		oddness	default	gx-2014-12	lino	medium	fixed	2014-12-04 14:25:26	2014-12-09 13:46:01	luc
30	Report to show orphaned Controllables	closed		enhancement	default	gx-2014-12	lino	medium	fixed	2014-12-04 14:30:21	2014-12-12 07:52:38	luc
31	Merge north and djangosite into Lino	closed		oddness	default	inside	lino	medium	fixed	2014-12-05 09:20:32	2014-12-12 23:06:16	luc
32	Keep change records when partner gets deleted?	closed		oddness	default	gx-2014-12	lino	medium	fixed	2014-12-08 23:28:30	2014-12-09 12:50:26	luc
33	Create human link	closed		defect	default		welfare	medium	fixed	2014-12-09 17:24:22	2015-02-01 11:24:34	Taavi
34	Bug beim Erfassen von Notizen	closed		defect	default	gx-2014-12-12	welfare	medium	fixed	2014-12-09 17:32:19	2014-12-18 10:02:49	luc
35	Selectable table layouts when printing `debts.Budget`	new		enhancement	default	gx-2015-03-04	welfare	medium		2014-12-12 05:14:59	2015-03-04 05:11:58	luc
36	Add Python 3 support	new		enhancement	default	inside	lino	medium		2014-12-12 22:51:32	2014-12-12 22:52:57	luc
37	Upgrade from ExtJS 3 to 5	new		enhancement	default	inside	lino	heavy		2014-12-12 22:59:28	2015-01-12 21:06:44	luc
38	Make Lino run with Django 1.7	new		enhancement	default	inside	lino	medium		2014-12-12 23:05:25	2015-03-17 17:59:53	luc
39	Get the docs to build on `readthedocs.org`	new		defect	default	inside	lino	medium		2014-12-12 23:15:26	2014-12-12 23:15:26	luc
40	Make the Lino Developer's Guide readable	new		task	default	inside	lino	medium		2014-12-14 11:15:37	2014-12-14 11:15:37	luc
41	Adding records in grid mode	new		defect	default		lino	medium		2014-12-14 20:20:16	2014-12-14 20:20:16	luc
42	New European VAT regulation	new		defect	default	Così 1.0	lino	medium		2014-12-14 20:22:15	2014-12-14 20:22:15	luc
43	"Nouveau module ""Recherche active d'emploi"""	closed		enhancement	default	mj-2014-12	welfare	medium	fixed	2014-12-15 14:03:33	2014-12-15 14:03:56	luc
44	Section headings for `lino.modlib.polls`	closed		enhancement	default	mj-2014-12-20	lino	medium	fixed	2014-12-16 02:02:46	2015-02-06 19:59:27	luc
45	Convert atelier.fablib.double_dump_test to a lino management command	new		enhancement	default		lino	medium		2014-12-16 09:56:47	2014-12-16 09:56:47	luc
46	pcsw.Clients doesn't show all rows	closed		defect	default	gx-2014-12-12	welfare	medium	fixed	2014-12-16 17:55:11	2014-12-19 07:18:05	luc
47	Upload Identifikationsdokument	closed		enhancement	default	gx-2015-01-15	welfare	medium	fixed	2014-12-17 19:18:49	2015-01-25 07:45:37	luc
48	"initdb command should use ""flush"" instead of reimplementing ""reset"""	new		enhancement	default		lino	medium		2014-12-18 10:32:40	2014-12-18 10:32:40	luc
49	ParamsLayout on pcsw.Clients expects a list of 12 values but got 16	closed		defect	default	gx-2015-01-25	welfare	medium	fixed	2014-12-19 15:18:27	2015-01-30 11:07:00	luc
50	New module `lino.modlib.wages`	new		enhancement	default	üü-2014.12	lino	medium		2014-12-19 15:51:23	2014-12-19 15:51:23	luc
51	Send email notification on update	closed		enhancement	default	gx-2014-12-19	lino	medium	fixed	2015-01-06 03:37:37	2015-01-11 22:46:36	luc
52	A widget for editing ManyToManyField	new		enhancement	default	inside	lino	medium		2015-01-06 15:19:20	2015-01-26 06:44:50	luc
